iso3,unidad,desde_meses,hasta_meses,operador_frontera,dias,tipo_de_dia,literal_normativo
NOR,Oslo,0,,tras_completar,25.0,werktage,Arbeidsgiver plikter a sorge for at arbeidstaker gis feriefritid pa 25 virkedager hvert ferieaar. Som virkedager regnes alle dager som ikke er sondager eller lovbestemte helge- eller hoytidsdager (fer
NZL,Auckland,0,12,tras_completar,0.0,semanas,"After the end of each completed 12 months of continuous employment, an employee is entitled to not less than 4 weeks' paid annual holidays (Holidays Act 2003, s 16(1))"
NZL,Auckland,12,,tras_completar,4.0,semanas,"After the end of each completed 12 months of continuous employment, an employee is entitled to not less than 4 weeks' paid annual holidays (Holidays Act 2003, s 16(1))"
PER,Lima,0,12,tras_completar,0.0,calendario,"El descanso vacacional es de treinta (30) dias calendario y comprende los dias de descanso semanal, feriados, dias no laborables"
PER,Lima,12,,tras_completar,30.0,calendario,"El descanso vacacional es de treinta (30) dias calendario y comprende los dias de descanso semanal, feriados, dias no laborables"
POL,Varsovia,0,12,tras_completar,0.0,habil,"Wymiar urlopu wynosi: 20 dni - jezeli pracownik jest zatrudniony krocej niz 10 lat; 26 dni - jezeli pracownik jest zatrudniony co najmniej 10 lat (kp art. 154 § 1). Urlopu udziela sie w dni, ktore sa "
POL,Varsovia,12,120,tras_completar,20.0,habil,"Wymiar urlopu wynosi: 20 dni - jezeli pracownik jest zatrudniony krocej niz 10 lat; 26 dni - jezeli pracownik jest zatrudniony co najmniej 10 lat (kp art. 154 § 1). Urlopu udziela sie w dni, ktore sa "
POL,Varsovia,120,,tras_completar,26.0,habil,"Wymiar urlopu wynosi: 20 dni - jezeli pracownik jest zatrudniony krocej niz 10 lat; 26 dni - jezeli pracownik jest zatrudniony co najmniej 10 lat (kp art. 154 § 1). Urlopu udziela sie w dni, ktore sa "
PRT,Lisboa,0,12,tras_completar,0.0,habil,"Artigo 238.º n.º 1: 'O periodo anual de ferias tem a duracao minima de 22 dias uteis.' n.º 2: 'Para efeitos de ferias, sao uteis os dias da semana de segunda-feira a sexta-feira, com excecao de feriad"
PRT,Lisboa,12,,tras_completar,22.0,habil,"Artigo 238.º n.º 1: 'O periodo anual de ferias tem a duracao minima de 22 dias uteis.' n.º 2: 'Para efeitos de ferias, sao uteis os dias da semana de segunda-feira a sexta-feira, com excecao de feriad"
PRY,Asunción,0,12,tras_completar,0.0,habil,"Para trabajadores de hasta cinco anos de antiguedad, doce dias habiles corridos (Codigo del Trabajo art. 218, texto dado por la Ley 496/95)"
PRY,Asunción,12,60,tras_completar,12.0,habil,"Para trabajadores de hasta cinco anos de antiguedad, doce dias habiles corridos (Codigo del Trabajo art. 218, texto dado por la Ley 496/95)"
PRY,Asunción,60,120,tras_completar,18.0,habil,"Para trabajadores de hasta cinco anos de antiguedad, doce dias habiles corridos (Codigo del Trabajo art. 218, texto dado por la Ley 496/95)"
PRY,Asunción,120,,tras_completar,30.0,habil,"Para trabajadores de hasta cinco anos de antiguedad, doce dias habiles corridos (Codigo del Trabajo art. 218, texto dado por la Ley 496/95)"
ROU,Bucarest,0,12,tras_completar,0.0,habil,Durata minima a concediului de odihna anual este de 20 de zile lucratoare (art. 145 alin. 1); sarbatorile legale in care nu se lucreaza... nu sunt incluse in durata concediului de odihna anual (art. 1
ROU,Bucarest,12,,tras_completar,20.0,habil,Durata minima a concediului de odihna anual este de 20 de zile lucratoare (art. 145 alin. 1); sarbatorile legale in care nu se lucreaza... nu sunt incluse in durata concediului de odihna anual (art. 1
SLV,San Salvador,0,12,tras_completar,0.0,calendario,un periodo de vacaciones cuya duracion sera de quince dias
SLV,San Salvador,12,,tras_completar,15.0,calendario,un periodo de vacaciones cuya duracion sera de quince dias
SVK,Bratislava,0,,tras_completar,4.0,semanas,Zakladna vymera dovolenky je najmenej styri tyzdne
SWE,Estocolmo,0,12,tras_completar,0.0,habil,"En arbetstagare har ratt till tjugofem semesterdagar varje semesterar (4 §); lordag och sondag raknas inte som semesterdagar... med sondag jamstalls allman helgdag samt midsommarafton, julafton och ny"
SWE,Estocolmo,12,,tras_completar,25.0,habil,"En arbetstagare har ratt till tjugofem semesterdagar varje semesterar (4 §); lordag och sondag raknas inte som semesterdagar... med sondag jamstalls allman helgdag samt midsommarafton, julafton och ny"
THA,Bangkok,0,12,tras_completar,0.0,habil,The employee who has worked consecutively for one year shall have the right to the annual holiday for not less than six working days a year (s.30)
THA,Bangkok,12,,tras_completar,6.0,habil,The employee who has worked consecutively for one year shall have the right to the annual holiday for not less than six working days a year (s.30)
TUR,Estambul,0,12,tras_completar,0.0,werktage,"Yillik izin sureleri icine rastlayan hafta tatili, ulusal bayram ve genel tatil gunleri izin suresinden sayilmaz"
TUR,Estambul,12,60,tras_completar,14.0,werktage,"Yillik izin sureleri icine rastlayan hafta tatili, ulusal bayram ve genel tatil gunleri izin suresinden sayilmaz"
TUR,Estambul,60,180,tras_completar,20.0,werktage,"Yillik izin sureleri icine rastlayan hafta tatili, ulusal bayram ve genel tatil gunleri izin suresinden sayilmaz"
TUR,Estambul,180,,tras_completar,26.0,werktage,"Yillik izin sureleri icine rastlayan hafta tatili, ulusal bayram ve genel tatil gunleri izin suresinden sayilmaz"
